TID,EEffectType,Description,ExtraDescription
210001,HungerInstantRecovery,배고픔이 {0}만큼 즉시 회복됩니다.,배고픔 즉시 회복
210002,HungerTimeRecovery,"{1}초 동안, 1초마다 배고픔이 {0}씩 회복됩니다.",배고픔 지속 공급
210003,HungerConsumeReduction,배고픔 소모량이 {0}% 감소합니다.,배고픔 소모 퍼센트 감소
210004,MaxHunger,최대 배고픔이 {0}만큼 증가합니다.,최대 배고픔 증가
210005,ManaTimeRecovery,"{1}초 동안, 1초마다 마나가 {0}씩 회복됩니다.",마나 지속 공급
210006,MaxMana,최대 마나가 {0}만큼 증가합니다.,최대 마나 증가
210007,MoveSpeed,이동 속도가 {0}% 증가합니다.,이동 속도 증가
210008,Damage,모든 공격 피해량이 {0}% 증가합니다.,전체 피해량 증가
210009,MeleeDamage,근접 공격 피해량이 {0}% 증가합니다.,"근거리(검,도끼) 피해량 증가"
210010,MagicDamage,마법 공격 피해량이 {0}% 증가합니다.,마법 피해량 증가
210011,AttackSpeed,공격 속도가 {0}% 증가합니다.,공격 속도 증가
210012,Defense,전체 방어력이 {0}만큼 증가합니다.,전체 방어력 증가
210013,MeleeDefense,근접 방어력이 {0}만큼 증가합니다.,근거리 방어력 증가
210014,MagicDefense,마법 방어력이 {0}만큼 증가합니다.,마법 방어력 증가
210015,BossDamage,보스에게 주는 피해량이 {0}% 증가합니다.,보스에게 주는 피해 증가
210016,BossDefense,보스로부터 받는 피해량이 {0}% 감소합니다.,보스에게 받는 피해 감소
